,product_title,product_url,img_url,product_price,average_rating,reviews_count,width,height,legth,breadcrumbs_category_main,breadcrumbs_category_sub
754,"LERHAMN Table and 2 chairs - black-brown/Vittaryd beige 29 1/8x29 1/8 """,https://www.ikea.com/us/en/p/lerhamn-table-and-2-chairs-black-brown-vittaryd-beige-s99306271/,https://www.ikea.com/us/en/images/products/lerhamn-table-and-2-chairs-black-brown-vittaryd-beige__0248162_pe386652_s5.jpg,149.0,4.4,12.0,19.0,4.75,36.5,Tables & desks,Dining sets
755,"MAMMUT Children's table - indoor/outdoor blue 33 1/2 """,https://www.ikea.com/us/en/p/mammut-childrens-table-indoor-outdoor-blue-90365180/,https://www.ikea.com/us/en/images/products/mammut-childrens-table-indoor-outdoor-blue__0735844_pe740211_s5.jpg,39.99,4.8,23.0,4.0,4.0,32.25,Tables & desks,Kids tables
756,"SMÅSTAD Desk - white with frame/with 2 drawers 35 3/8x31 1/2x39 3/8 """,https://www.ikea.com/us/en/p/smastad-desk-white-with-frame-with-2-drawers-s19392282/,https://www.ikea.com/us/en/images/products/smastad-desk-white-gray-with-2-drawers__0926168_pe789068_s5.jpg,177.0,1.0,1.0,30.75,3.25,40.25,Tables & desks,Desks & computer desks
757,"TARVA Nightstand - pine 18 7/8x24 3/8 """,https://www.ikea.com/us/en/p/tarva-nightstand-pine-50219609/,https://www.ikea.com/us/en/images/products/tarva-nightstand-pine__0624428_pe691835_s5.jpg,39.99,4.3,91.0,15.75,4.25,22.5,Tables & desks,Nightstands
758,"INGATORP / BERGMUND Table and 4 chairs - black/Kvillsfors dark blue/blue 61/84 5/8 """,https://www.ikea.com/us/en/p/ingatorp-bergmund-table-and-4-chairs-black-kvillsfors-dark-blue-blue-s59477057/,https://www.ikea.com/us/en/images/products/ingatorp-bergmund-table-and-4-chairs-black-ryrane-dark-blue__0954353_pe803224_s5.jpg,669.0,4.8,6.0,35.75,4.75,62.75,Tables & desks,Dining sets
759,"LAGKAPTEN / ALEX Desk - white 78 3/4x23 5/8 """,https://www.ikea.com/us/en/p/lagkapten-alex-desk-white-s59417619/,https://www.ikea.com/us/en/images/products/lagkapten-alex-desk-black-brown-black__0976183_pe813077_s5.jpg,209.99,4.7,12.0,24.0,1.5,79.25,Tables & desks,Desks & computer desks
760,"KRAGSTA Nesting tables, set of 2 - white",https://www.ikea.com/us/en/p/kragsta-nesting-tables-set-of-2-white-20299829/,https://www.ikea.com/us/en/images/products/kragsta-nesting-tables-set-of-2-black__0313789_pe517045_s5.jpg,129.0,4.6,19.0,20.5,1.75,31.0,Tables & desks,Accent tables
761,"LAGKAPTEN / TILLSLAG Desk - white 55 1/8x23 5/8 """,https://www.ikea.com/us/en/p/lagkapten-tillslag-desk-white-s69417204/,https://www.ikea.com/us/en/images/products/lagkapten-tillslag-desk-black-brown-white__0976139_pe813029_s5.jpg,69.99,5.0,1.0,24.0,1.5,55.5,Tables & desks,Desks & computer desks
762,"LAGKAPTEN / ALEX Desk - black-brown/black 47 1/4x23 5/8 """,https://www.ikea.com/us/en/p/lagkapten-alex-desk-black-brown-black-s89417057/,https://www.ikea.com/us/en/images/products/lagkapten-alex-desk-black-brown-black__0977233_pe813476_s5.jpg,110.99,4.7,15.0,23.5,1.5,47.25,Tables & desks,Desks & computer desks
763,"TROTTEN Tabletop - white 47 1/4x27 1/2 """,https://www.ikea.com/us/en/p/trotten-tabletop-white-50474751/,https://www.ikea.com/us/en/images/products/trotten-tabletop-beige__1009436_pe827597_s5.jpg,40.0,0.0,0.0,29.5,1.0,50.25,Tables & desks,Desks & computer desks
764,"ANFALLARE / NÄRSPEL Desk - bamboo/dark gray 55 1/8x25 5/8 """,https://www.ikea.com/us/en/p/anfallare-naerspel-desk-bamboo-dark-gray-s99417716/,https://www.ikea.com/us/en/images/products/anfallare-naerspel-desk-bamboo-dark-gray__0976196_pe813089_s5.jpg,139.0,0.0,0.0,27.75,1.5,58.0,Tables & desks,Desks & computer desks
765,"BEKANT Corner desk left sit/stand - linoleum blue/white 63x43 1/4 """,https://www.ikea.com/us/en/p/bekant-corner-desk-left-sit-stand-linoleum-blue-white-s59282314/,https://www.ikea.com/us/en/images/products/bekant-corner-desk-left-sit-stand-black-stained-ash-veneer-black__0734906_pe739647_s5.jpg,599.0,3.7,21.0,45.0,0.75,65.75,Tables & desks,Desks & computer desks
766,RESÖ Children's picnic table - light brown stained,https://www.ikea.com/us/en/p/resoe-childrens-picnic-table-light-brown-stained-70228325/,https://www.ikea.com/us/en/images/products/resoe-childrens-picnic-table-light-brown-stained__0736459_pe740547_s5.jpg,49.99,4.7,48.0,16.75,3.25,36.75,Tables & desks,Kids tables
767,"LINNMON / KRILLE Desk - white 39 3/8x23 5/8 """,https://www.ikea.com/us/en/p/linnmon-krille-desk-white-s09416212/,https://www.ikea.com/us/en/images/products/linnmon-krille-desk-dark-gray-white__0977211_pe813456_s5.jpg,68.99,5.0,3.0,23.5,1.5,39.25,Tables & desks,Desks & computer desks
768,"NORDVIKEN / BERGMUND Table and 6 chairs - white/Rommele dark blue/white 82 5/8/113 3/4 """,https://www.ikea.com/us/en/p/nordviken-bergmund-table-and-6-chairs-white-rommele-dark-blue-white-s19477083/,https://www.ikea.com/us/en/images/products/nordviken-bergmund-table-and-6-chairs-black-ryrane-dark-blue__0954357_pe803228_s5.jpg,1009.0,5.0,2.0,26.25,3.0,76.25,Tables & desks,Dining sets
769,"INGATORP Extendable table - white 43 1/4/61 """,https://www.ikea.com/us/en/p/ingatorp-extendable-table-white-40217069/,https://www.ikea.com/us/en/images/products/ingatorp-extendable-table-black__0737088_pe740878_s5.jpg,349.0,4.1,130.0,29.0,4.25,45.25,Tables & desks,Dining tables
